sample_id,status,original_performance,optimized_performance,param_changes,top_params
819,success,[511.  600.   16.5],[413.06  539.71   29.825],"[{'param_index': np.int64(6), 'original': np.float32(0.7272727), 'optimized': np.float32(0.81761396), 'change_pct': np.float32(12.421926)}, {'param_index': np.int64(0), 'original': np.float32(0.36873156), 'optimized': np.float32(0.39512625), 'change_pct': np.float32(7.1582413)}, {'param_index': np.int64(2), 'original': np.float32(0.475), 'optimized': np.float32(0.39874652), 'change_pct': np.float32(-16.053364)}, {'param_index': np.int64(1), 'original': np.float32(0.29577464), 'optimized': np.float32(0.20518254), 'change_pct': np.float32(-30.62876)}, {'param_index': np.int64(5), 'original': np.float32(0.30769232), 'optimized': np.float32(0.21802595), 'change_pct': np.float32(-29.14157)}]","[6, 0, 2, 1, 5]"
832,success,[127.  271.   49.5],[161.35  323.37   46.385],"[{'param_index': np.int64(2), 'original': np.float32(0.01), 'optimized': np.float32(0.09439763), 'change_pct': np.float32(843.9763)}, {'param_index': np.int64(0), 'original': np.float32(0.003539823), 'optimized': np.float32(0.042908702), 'change_pct': np.float32(1112.1708)}, {'param_index': np.int64(5), 'original': np.float32(0.7692308), 'optimized': np.float32(0.67574704), 'change_pct': np.float32(-12.152887)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.06948705), 'change_pct': np.float32(4833.5806)}, {'param_index': np.int64(12), 'original': np.float32(0.9437752), 'optimized': np.float32(0.8751694), 'change_pct': np.float32(-7.269293)}]","[2, 0, 5, 1, 12]"
839,success,[518. 854.  22.],[455.39       690.85        27.63666667],"[{'param_index': np.int64(2), 'original': np.float32(0.935), 'optimized': np.float32(0.84055084), 'change_pct': np.float32(-10.101514)}, {'param_index': np.int64(0), 'original': np.float32(0.71091443), 'optimized': np.float32(0.8069518), 'change_pct': np.float32(13.508993)}, {'param_index': np.int64(1), 'original': np.float32(0.52112675), 'optimized': np.float32(0.5840895), 'change_pct': np.float32(12.082046)}, {'param_index': np.int64(3), 'original': np.float32(0.24719104), 'optimized': np.float32(0.15290023), 'change_pct': np.float32(-38.144913)}, {'param_index': np.int64(5), 'original': np.float32(0.05494505), 'optimized': np.float32(0.06640691), 'change_pct': np.float32(20.860588)}]","[2, 0, 1, 3, 5]"
845,success,[131. 285.  46.],[162.52  306.44   46.405],"[{'param_index': np.int64(2), 'original': np.float32(0.01), 'optimized': np.float32(0.074424684), 'change_pct': np.float32(644.2469)}, {'param_index': np.int64(0), 'original': np.float32(0.0064896755), 'optimized': np.float32(0.0843262), 'change_pct': np.float32(1199.3901)}, {'param_index': np.int64(5), 'original': np.float32(0.7692308), 'optimized': np.float32(0.8436814), 'change_pct': np.float32(9.678579)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.098189905), 'change_pct': np.float32(6871.483)}, {'param_index': np.int64(12), 'original': np.float32(0.9196787), 'optimized': np.float32(0.874074), 'change_pct': np.float32(-4.958765)}]","[2, 0, 5, 1, 12]"
849,success,[132. 283.  50.],[161.32 326.31  46.49],"[{'param_index': np.int64(2), 'original': np.float32(0.01), 'optimized': np.float32(0.096193425), 'change_pct': np.float32(861.93427)}, {'param_index': np.int64(0), 'original': np.float32(0.003539823), 'optimized': np.float32(0.040837865), 'change_pct': np.float32(1053.6697)}, {'param_index': np.int64(5), 'original': np.float32(0.82417583), 'optimized': np.float32(0.7393446), 'change_pct': np.float32(-10.292856)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.08031531), 'change_pct': np.float32(5602.3867)}, {'param_index': np.int64(12), 'original': np.float32(0.93172693), 'optimized': np.float32(0.8738465), 'change_pct': np.float32(-6.21217)}]","[2, 0, 5, 1, 12]"
864,success,[129. 270.  50.],[161.9   323.89   47.675],"[{'param_index': np.int64(2), 'original': np.float32(0.01), 'optimized': np.float32(0.09439763), 'change_pct': np.float32(843.9763)}, {'param_index': np.int64(0), 'original': np.float32(0.0029498525), 'optimized': np.float32(0.042661387), 'change_pct': np.float32(1346.2211)}, {'param_index': np.int64(5), 'original': np.float32(0.8351648), 'optimized': np.float32(0.74168104), 'change_pct': np.float32(-11.193449)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.06948705), 'change_pct': np.float32(4833.5806)}, {'param_index': np.int64(12), 'original': np.float32(0.9477911), 'optimized': np.float32(0.87836426), 'change_pct': np.float32(-7.3251204)}]","[2, 0, 5, 1, 12]"
874,success,[130. 281.  48.],[161.3  325.93  45.79],"[{'param_index': np.int64(2), 'original': np.float32(0.015000002), 'optimized': np.float32(0.10365203), 'change_pct': np.float32(591.0134)}, {'param_index': np.int64(0), 'original': np.float32(0.003539823), 'optimized': np.float32(0.086537175), 'change_pct': np.float32(2344.6753)}, {'param_index': np.int64(5), 'original': np.float32(0.80219775), 'optimized': np.float32(0.7126493), 'change_pct': np.float32(-11.162892)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.012470065), 'change_pct': np.float32(785.3746)}, {'param_index': np.int64(12), 'original': np.float32(0.93574286), 'optimized': np.float32(0.84584165), 'change_pct': np.float32(-9.60747)}]","[2, 0, 5, 1, 12]"
883,success,[475. 580.  18.],[458.62  559.84   23.155],"[{'param_index': np.int64(6), 'original': np.float32(0.7818182), 'optimized': np.float32(0.84789777), 'change_pct': np.float32(8.452036)}, {'param_index': np.int64(2), 'original': np.float32(0.48499998), 'optimized': np.float32(0.43220577), 'change_pct': np.float32(-10.8854065)}, {'param_index': np.int64(0), 'original': np.float32(0.40412977), 'optimized': np.float32(0.3144603), 'change_pct': np.float32(-22.188286)}, {'param_index': np.int64(1), 'original': np.float32(0.29577464), 'optimized': np.float32(0.20661353), 'change_pct': np.float32(-30.144947)}, {'param_index': np.int64(12), 'original': np.float32(0.37751007), 'optimized': np.float32(0.29958764), 'change_pct': np.float32(-20.641153)}]","[6, 2, 0, 1, 12]"
887,success,[492. 846.  22.],[457.47       692.62        27.84833333],"[{'param_index': np.int64(2), 'original': np.float32(0.935), 'optimized': np.float32(0.84362376), 'change_pct': np.float32(-9.772861)}, {'param_index': np.int64(0), 'original': np.float32(0.69321537), 'optimized': np.float32(0.7793911), 'change_pct': np.float32(12.431309)}, {'param_index': np.int64(1), 'original': np.float32(0.53521127), 'optimized': np.float32(0.51809275), 'change_pct': np.float32(-3.198459)}, {'param_index': np.int64(3), 'original': np.float32(0.24719104), 'optimized': np.float32(0.15370612), 'change_pct': np.float32(-37.818897)}, {'param_index': np.int64(5), 'original': np.float32(0.043956045), 'optimized': np.float32(0.040861133), 'change_pct': np.float32(-7.040924)}]","[2, 0, 1, 3, 5]"
890,success,[452.  554.   20.5],[354.86  534.89   30.125],"[{'param_index': np.int64(6), 'original': np.float32(0.6909091), 'optimized': np.float32(0.603599), 'change_pct': np.float32(-12.636985)}, {'param_index': np.int64(2), 'original': np.float32(0.47), 'optimized': np.float32(0.38354194), 'change_pct': np.float32(-18.395332)}, {'param_index': np.int64(0), 'original': np.float32(0.39233038), 'optimized': np.float32(0.3242573), 'change_pct': np.float32(-17.350954)}, {'param_index': np.int64(1), 'original': np.float32(0.25352114), 'optimized': np.float32(0.16540845), 'change_pct': np.float32(-34.75556)}, {'param_index': np.int64(12), 'original': np.float32(0.381526), 'optimized': np.float32(0.47124732), 'change_pct': np.float32(23.516438)}]","[6, 2, 0, 1, 12]"
905,success,[460.  569.   19.5],[395.58  530.36   29.475],"[{'param_index': np.int64(6), 'original': np.float32(0.7272727), 'optimized': np.float32(0.64939636), 'change_pct': np.float32(-10.707996)}, {'param_index': np.int64(0), 'original': np.float32(0.38053095), 'optimized': np.float32(0.47674176), 'change_pct': np.float32(25.283306)}, {'param_index': np.int64(2), 'original': np.float32(0.46), 'optimized': np.float32(0.3689837), 'change_pct': np.float32(-19.786158)}, {'param_index': np.int64(1), 'original': np.float32(0.29577464), 'optimized': np.float32(0.19921342), 'change_pct': np.float32(-32.646893)}, {'param_index': np.int64(5), 'original': np.float32(0.2857143), 'optimized': np.float32(0.20368892), 'change_pct': np.float32(-28.708881)}]","[6, 0, 2, 1, 5]"
929,success,[476.  573.   21.5],[459.11  555.7    29.765],"[{'param_index': np.int64(6), 'original': np.float32(0.7090909), 'optimized': np.float32(0.60909086), 'change_pct': np.float32(-14.102568)}, {'param_index': np.int64(2), 'original': np.float32(0.465), 'optimized': np.float32(0.5625), 'change_pct': np.float32(20.967741)}, {'param_index': np.int64(0), 'original': np.float32(0.36873156), 'optimized': np.float32(0.46755162), 'change_pct': np.float32(26.800001)}, {'param_index': np.int64(1), 'original': np.float32(0.28169015), 'optimized': np.float32(0.18169016), 'change_pct': np.float32(-35.499996)}, {'param_index': np.int64(5), 'original': np.float32(0.3296703), 'optimized': np.float32(0.23076922), 'change_pct': np.float32(-30.000002)}]","[6, 2, 0, 1, 5]"
939,success,[134. 275.  49.],[161.35  325.81   45.875],"[{'param_index': np.int64(2), 'original': np.float32(0.015000002), 'optimized': np.float32(0.09878822), 'change_pct': np.float32(558.588)}, {'param_index': np.int64(0), 'original': np.float32(0.0029498525), 'optimized': np.float32(0.042661387), 'change_pct': np.float32(1346.2211)}, {'param_index': np.int64(5), 'original': np.float32(0.82417583), 'optimized': np.float32(0.7306921), 'change_pct': np.float32(-11.342694)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.06948705), 'change_pct': np.float32(4833.5806)}, {'param_index': np.int64(12), 'original': np.float32(0.9437752), 'optimized': np.float32(0.8751694), 'change_pct': np.float32(-7.269293)}]","[2, 0, 5, 1, 12]"
950,success,[130. 285.  48.],[161.86  326.2    46.555],"[{'param_index': np.int64(2), 'original': np.float32(0.020000001), 'optimized': np.float32(0.11238593), 'change_pct': np.float32(461.9296)}, {'param_index': np.int64(0), 'original': np.float32(0.0053097345), 'optimized': np.float32(0.095109195), 'change_pct': np.float32(1691.2234)}, {'param_index': np.int64(5), 'original': np.float32(0.74725276), 'optimized': np.float32(0.6568854), 'change_pct': np.float32(-12.093281)}, {'param_index': np.int64(1), 'original': np.float32(0.0028169015), 'optimized': np.float32(0.084861055), 'change_pct': np.float32(2912.5674)}, {'param_index': np.int64(12), 'original': np.float32(0.9277108), 'optimized': np.float32(0.83525294), 'change_pct': np.float32(-9.966235)}]","[2, 0, 5, 1, 12]"
958,success,[134. 277.  45.],[165.08 305.8   45.85],"[{'param_index': np.int64(2), 'original': np.float32(0.015000002), 'optimized': np.float32(0.06560863), 'change_pct': np.float32(337.3908)}, {'param_index': np.int64(0), 'original': np.float32(0.004129794), 'optimized': np.float32(0.023572084), 'change_pct': np.float32(470.78113)}, {'param_index': np.int64(5), 'original': np.float32(0.85714287), 'optimized': np.float32(0.75922775), 'change_pct': np.float32(-11.4234295)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.0029131882), 'change_pct': np.float32(106.83636)}, {'param_index': np.int64(12), 'original': np.float32(0.93574286), 'optimized': np.float32(0.8441897), 'change_pct': np.float32(-9.784008)}]","[2, 0, 5, 1, 12]"
962,success,[139. 276.  51.],[161.22 326.22  45.96],"[{'param_index': np.int64(2), 'original': np.float32(0.015000002), 'optimized': np.float32(0.109125026), 'change_pct': np.float32(627.50006)}, {'param_index': np.int64(0), 'original': np.float32(0.0029498525), 'optimized': np.float32(0.07554911), 'change_pct': np.float32(2461.115)}, {'param_index': np.int64(5), 'original': np.float32(0.82417583), 'optimized': np.float32(0.7834336), 'change_pct': np.float32(-4.943389)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.09118917), 'change_pct': np.float32(6374.4307)}, {'param_index': np.int64(12), 'original': np.float32(0.939759), 'optimized': np.float32(0.87443423), 'change_pct': np.float32(-6.951227)}]","[2, 0, 5, 1, 12]"
985,success,[133.  285.   47.5],[183.36 323.49  47.19],"[{'param_index': np.int64(2), 'original': np.float32(0.020000001), 'optimized': np.float32(0.090670206), 'change_pct': np.float32(353.35098)}, {'param_index': np.int64(0), 'original': np.float32(0.0076696165), 'optimized': np.float32(0.03973214), 'change_pct': np.float32(418.046)}, {'param_index': np.int64(5), 'original': np.float32(0.7692308), 'optimized': np.float32(0.683795), 'change_pct': np.float32(-11.106655)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.101300426), 'change_pct': np.float32(7092.33)}, {'param_index': np.int64(12), 'original': np.float32(0.9558232), 'optimized': np.float32(0.8699433), 'change_pct': np.float32(-8.984911)}]","[2, 0, 5, 1, 12]"
986,success,[134.  277.   44.5],[161.01 326.32  45.91],"[{'param_index': np.int64(2), 'original': np.float32(0.01), 'optimized': np.float32(0.1024755), 'change_pct': np.float32(924.7551)}, {'param_index': np.int64(0), 'original': np.float32(0.003539823), 'optimized': np.float32(0.08794474), 'change_pct': np.float32(2384.439)}, {'param_index': np.int64(5), 'original': np.float32(0.79120874), 'optimized': np.float32(0.7168394), 'change_pct': np.float32(-9.399463)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.0042789886), 'change_pct': np.float32(203.80817)}, {'param_index': np.int64(12), 'original': np.float32(0.9196787), 'optimized': np.float32(0.89199805), 'change_pct': np.float32(-3.009816)}]","[2, 0, 5, 1, 12]"
989,success,[502. 581.  19.],[340.92  533.55   29.125],"[{'param_index': np.int64(6), 'original': np.float32(0.7272727), 'optimized': np.float32(0.6284218), 'change_pct': np.float32(-13.592)}, {'param_index': np.int64(0), 'original': np.float32(0.36283183), 'optimized': np.float32(0.36242616), 'change_pct': np.float32(-0.11180641)}, {'param_index': np.int64(2), 'original': np.float32(0.47), 'optimized': np.float32(0.38173237), 'change_pct': np.float32(-18.780346)}, {'param_index': np.int64(1), 'original': np.float32(0.26760563), 'optimized': np.float32(0.17161317), 'change_pct': np.float32(-35.87087)}, {'param_index': np.int64(5), 'original': np.float32(0.2857143), 'optimized': np.float32(0.21751074), 'change_pct': np.float32(-23.871243)}]","[6, 0, 2, 1, 5]"
1020,success,[449.  802.   21.5],[429.88 722.33  28.04],"[{'param_index': np.int64(2), 'original': np.float32(0.91), 'optimized': np.float32(0.81790304), 'change_pct': np.float32(-10.120547)}, {'param_index': np.int64(0), 'original': np.float32(0.7227139), 'optimized': np.float32(0.81892467), 'change_pct': np.float32(13.312429)}, {'param_index': np.int64(1), 'original': np.float32(0.53521127), 'optimized': np.float32(0.43865004), 'change_pct': np.float32(-18.041702)}, {'param_index': np.int64(3), 'original': np.float32(0.24719104), 'optimized': np.float32(0.16611803), 'change_pct': np.float32(-32.797714)}, {'param_index': np.int64(5), 'original': np.float32(0.043956045), 'optimized': np.float32(0.015802627), 'change_pct': np.float32(-64.04903)}]","[2, 0, 1, 3, 5]"
1029,success,[127. 279.  50.],[160.99 324.47  47.15],"[{'param_index': np.int64(2), 'original': np.float32(0.015000002), 'optimized': np.float32(0.09878822), 'change_pct': np.float32(558.588)}, {'param_index': np.int64(0), 'original': np.float32(0.0053097345), 'optimized': np.float32(0.04365064), 'change_pct': np.float32(722.087)}, {'param_index': np.int64(5), 'original': np.float32(0.82417583), 'optimized': np.float32(0.7306921), 'change_pct': np.float32(-11.342694)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.06948705), 'change_pct': np.float32(4833.5806)}, {'param_index': np.int64(12), 'original': np.float32(0.9477911), 'optimized': np.float32(0.87836426), 'change_pct': np.float32(-7.3251204)}]","[2, 0, 5, 1, 12]"
1070,success,[134.  277.   43.5],[161.94 324.36  44.68],"[{'param_index': np.int64(2), 'original': np.float32(0.01), 'optimized': np.float32(0.09439763), 'change_pct': np.float32(843.9763)}, {'param_index': np.int64(0), 'original': np.float32(0.004129794), 'optimized': np.float32(0.043156017), 'change_pct': np.float32(944.99194)}, {'param_index': np.int64(5), 'original': np.float32(0.8681319), 'optimized': np.float32(0.77464813), 'change_pct': np.float32(-10.768381)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.06948705), 'change_pct': np.float32(4833.5806)}, {'param_index': np.int64(12), 'original': np.float32(0.9277108), 'optimized': np.float32(0.8623894), 'change_pct': np.float32(-7.0411367)}]","[2, 0, 5, 1, 12]"
1083,success,[453.  549.   20.5],[427.88 536.77  27.57],"[{'param_index': np.int64(6), 'original': np.float32(0.7818182), 'optimized': np.float32(0.8786075), 'change_pct': np.float32(12.380026)}, {'param_index': np.int64(0), 'original': np.float32(0.38643065), 'optimized': np.float32(0.32781664), 'change_pct': np.float32(-15.168056)}, {'param_index': np.int64(2), 'original': np.float32(0.475), 'optimized': np.float32(0.38382128), 'change_pct': np.float32(-19.195518)}, {'param_index': np.int64(1), 'original': np.float32(0.30985916), 'optimized': np.float32(0.21295919), 'change_pct': np.float32(-31.272263)}, {'param_index': np.int64(5), 'original': np.float32(0.2967033), 'optimized': np.float32(0.20295352), 'change_pct': np.float32(-31.597149)}]","[6, 0, 2, 1, 5]"
1088,success,[134. 274.  45.],[162.82 327.43  46.45],"[{'param_index': np.int64(2), 'original': np.float32(0.01), 'optimized': np.float32(0.096193425), 'change_pct': np.float32(861.93427)}, {'param_index': np.int64(0), 'original': np.float32(0.0029498525), 'optimized': np.float32(0.040602487), 'change_pct': np.float32(1276.4243)}, {'param_index': np.int64(5), 'original': np.float32(0.9010989), 'optimized': np.float32(0.815486), 'change_pct': np.float32(-9.500943)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.08031531), 'change_pct': np.float32(5602.3867)}, {'param_index': np.int64(12), 'original': np.float32(0.9437752), 'optimized': np.float32(0.88278425), 'change_pct': np.float32(-6.462443)}]","[2, 0, 5, 1, 12]"
1090,success,[499.  835.   21.5],[426.61       723.48        28.03833333],"[{'param_index': np.int64(2), 'original': np.float32(0.855), 'optimized': np.float32(0.7700385), 'change_pct': np.float32(-9.937021)}, {'param_index': np.int64(0), 'original': np.float32(0.7345133), 'optimized': np.float32(0.83274925), 'change_pct': np.float32(13.374294)}, {'param_index': np.int64(1), 'original': np.float32(0.5070423), 'optimized': np.float32(0.42596763), 'change_pct': np.float32(-15.989722)}, {'param_index': np.int64(3), 'original': np.float32(0.26966295), 'optimized': np.float32(0.17361787), 'change_pct': np.float32(-35.616714)}, {'param_index': np.int64(5), 'original': np.float32(0.06593406), 'optimized': np.float32(0.075663894), 'change_pct': np.float32(14.756913)}]","[2, 0, 1, 3, 5]"
1094,success,[364. 617.  22.],[364.39 616.99  31.72],"[{'param_index': np.int64(2), 'original': np.float32(0.90000004), 'optimized': np.float32(0.92423093), 'change_pct': np.float32(2.6923218)}, {'param_index': np.int64(0), 'original': np.float32(0.3982301), 'optimized': np.float32(0.39208657), 'change_pct': np.float32(-1.5427111)}, {'param_index': np.int64(1), 'original': np.float32(0.32394367), 'optimized': np.float32(0.23147441), 'change_pct': np.float32(-28.544859)}, {'param_index': np.int64(12), 'original': np.float32(0.088353395), 'optimized': np.float32(0.034693655), 'change_pct': np.float32(-60.733078)}, {'param_index': np.int64(5), 'original': np.float32(0.25274724), 'optimized': np.float32(0.24651366), 'change_pct': np.float32(-2.4663267)}]","[2, 0, 1, 12, 5]"
1098,success,[481. 587.  19.],[445.83  560.81   29.975],"[{'param_index': np.int64(6), 'original': np.float32(0.6909091), 'optimized': np.float32(0.5976633), 'change_pct': np.float32(-13.496104)}, {'param_index': np.int64(0), 'original': np.float32(0.39233038), 'optimized': np.float32(0.4848625), 'change_pct': np.float32(23.585257)}, {'param_index': np.int64(2), 'original': np.float32(0.475), 'optimized': np.float32(0.5696275), 'change_pct': np.float32(19.921585)}, {'param_index': np.int64(1), 'original': np.float32(0.29577464), 'optimized': np.float32(0.20185855), 'change_pct': np.float32(-31.752583)}, {'param_index': np.int64(5), 'original': np.float32(0.30769232), 'optimized': np.float32(0.21581733), 'change_pct': np.float32(-29.85937)}]","[6, 0, 2, 1, 5]"
1121,success,[476.  579.   19.5],[417.48 555.33  26.53],"[{'param_index': np.int64(6), 'original': np.float32(0.7272727), 'optimized': np.float32(0.63962847), 'change_pct': np.float32(-12.051081)}, {'param_index': np.int64(2), 'original': np.float32(0.48999998), 'optimized': np.float32(0.39848596), 'change_pct': np.float32(-18.676332)}, {'param_index': np.int64(0), 'original': np.float32(0.41002947), 'optimized': np.float32(0.38722143), 'change_pct': np.float32(-5.562538)}, {'param_index': np.int64(1), 'original': np.float32(0.29577464), 'optimized': np.float32(0.30223447), 'change_pct': np.float32(2.1840386)}, {'param_index': np.int64(5), 'original': np.float32(0.34065932), 'optimized': np.float32(0.26819235), 'change_pct': np.float32(-21.272564)}]","[6, 2, 0, 1, 5]"
1127,success,[133.  285.   43.5],[161.36 328.16  45.4 ],"[{'param_index': np.int64(2), 'original': np.float32(0.020000001), 'optimized': np.float32(0.114653215), 'change_pct': np.float32(473.26602)}, {'param_index': np.int64(0), 'original': np.float32(0.004719764), 'optimized': np.float32(0.09767414), 'change_pct': np.float32(1969.4708)}, {'param_index': np.int64(5), 'original': np.float32(0.85714287), 'optimized': np.float32(0.78272885), 'change_pct': np.float32(-8.681635)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.004516133), 'change_pct': np.float32(220.64543)}, {'param_index': np.int64(12), 'original': np.float32(0.93172693), 'optimized': np.float32(0.8471161), 'change_pct': np.float32(-9.081075)}]","[2, 0, 5, 1, 12]"
1128,success,[137.  276.   45.5],[163.3  305.13  45.87],"[{'param_index': np.int64(2), 'original': np.float32(0.015000002), 'optimized': np.float32(0.05925376), 'change_pct': np.float32(295.02502)}, {'param_index': np.int64(0), 'original': np.float32(0.003539823), 'optimized': np.float32(0.1010947), 'change_pct': np.float32(2755.9253)}, {'param_index': np.int64(5), 'original': np.float32(0.85714287), 'optimized': np.float32(0.7589755), 'change_pct': np.float32(-11.452859)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.010263902), 'change_pct': np.float32(628.737)}, {'param_index': np.int64(12), 'original': np.float32(0.93574286), 'optimized': np.float32(0.85910535), 'change_pct': np.float32(-8.190018)}]","[2, 0, 5, 1, 12]"
1149,success,[359. 632.  22.],[368.48 623.78  29.6 ],"[{'param_index': np.int64(2), 'original': np.float32(0.89500004), 'optimized': np.float32(0.9321813), 'change_pct': np.float32(4.1543303)}, {'param_index': np.int64(0), 'original': np.float32(0.43952802), 'optimized': np.float32(0.53697854), 'change_pct': np.float32(22.17163)}, {'param_index': np.int64(1), 'original': np.float32(0.30985916), 'optimized': np.float32(0.21378937), 'change_pct': np.float32(-31.00434)}, {'param_index': np.int64(12), 'original': np.float32(0.27710843), 'optimized': np.float32(0.37411115), 'change_pct': np.float32(35.00533)}, {'param_index': np.int64(5), 'original': np.float32(0.2197802), 'optimized': np.float32(0.1849059), 'change_pct': np.float32(-15.86781)}]","[2, 0, 1, 12, 5]"
1151,success,[134. 277.  48.],[162.48 323.52  46.68],"[{'param_index': np.int64(2), 'original': np.float32(0.015000002), 'optimized': np.float32(0.09878822), 'change_pct': np.float32(558.588)}, {'param_index': np.int64(0), 'original': np.float32(0.0064896755), 'optimized': np.float32(0.044145264), 'change_pct': np.float32(580.2384)}, {'param_index': np.int64(5), 'original': np.float32(0.7032967), 'optimized': np.float32(0.609813), 'change_pct': np.float32(-13.29222)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.06948705), 'change_pct': np.float32(4833.5806)}, {'param_index': np.int64(12), 'original': np.float32(0.9196787), 'optimized': np.float32(0.8559995), 'change_pct': np.float32(-6.924066)}]","[2, 0, 5, 1, 12]"
1155,success,[130.  295.   44.5],[161.85  326.23   45.465],"[{'param_index': np.int64(2), 'original': np.float32(0.020000001), 'optimized': np.float32(0.11238593), 'change_pct': np.float32(461.9296)}, {'param_index': np.int64(0), 'original': np.float32(0.003539823), 'optimized': np.float32(0.093492605), 'change_pct': np.float32(2541.166)}, {'param_index': np.int64(5), 'original': np.float32(0.8131868), 'optimized': np.float32(0.72281945), 'change_pct': np.float32(-11.112745)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.08369858), 'change_pct': np.float32(5842.5986)}, {'param_index': np.int64(12), 'original': np.float32(0.93574286), 'optimized': np.float32(0.84302384), 'change_pct': np.float32(-9.9086)}]","[2, 0, 5, 1, 12]"
1171,success,[432. 697.  20.],[428.16 638.27  31.64],"[{'param_index': np.int64(2), 'original': np.float32(0.90000004), 'optimized': np.float32(0.87520695), 'change_pct': np.float32(-2.7547874)}, {'param_index': np.int64(0), 'original': np.float32(0.41002947), 'optimized': np.float32(0.48101622), 'change_pct': np.float32(17.312597)}, {'param_index': np.int64(1), 'original': np.float32(0.35211268), 'optimized': np.float32(0.2605518), 'change_pct': np.float32(-26.003286)}, {'param_index': np.int64(49), 'original': np.float32(0.98913044), 'optimized': np.float32(0.97419655), 'change_pct': np.float32(-1.5097992)}, {'param_index': np.int64(5), 'original': np.float32(0.19780219), 'optimized': np.float32(0.12343278), 'change_pct': np.float32(-37.59787)}]","[2, 0, 1, 49, 5]"
1173,success,[130. 283.  44.],[160.31 326.8   45.92],"[{'param_index': np.int64(2), 'original': np.float32(0.01), 'optimized': np.float32(0.096193425), 'change_pct': np.float32(861.93427)}, {'param_index': np.int64(0), 'original': np.float32(0.003539823), 'optimized': np.float32(0.040837865), 'change_pct': np.float32(1053.6697)}, {'param_index': np.int64(5), 'original': np.float32(0.79120874), 'optimized': np.float32(0.7063775), 'change_pct': np.float32(-10.721726)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.08031531), 'change_pct': np.float32(5602.3867)}, {'param_index': np.int64(12), 'original': np.float32(0.93172693), 'optimized': np.float32(0.8738465), 'change_pct': np.float32(-6.21217)}]","[2, 0, 5, 1, 12]"
1177,success,[461. 806.  21.],[469.05 685.11  28.09],"[{'param_index': np.int64(2), 'original': np.float32(0.88500005), 'optimized': np.float32(0.7916134), 'change_pct': np.float32(-10.552163)}, {'param_index': np.int64(0), 'original': np.float32(0.68731564), 'optimized': np.float32(0.785586), 'change_pct': np.float32(14.297705)}, {'param_index': np.int64(1), 'original': np.float32(0.53521127), 'optimized': np.float32(0.4898174), 'change_pct': np.float32(-8.481483)}, {'param_index': np.int64(3), 'original': np.float32(0.23595506), 'optimized': np.float32(0.14842358), 'change_pct': np.float32(-37.096672)}, {'param_index': np.int64(5), 'original': np.float32(0.03296703), 'optimized': np.float32(0.039351154), 'change_pct': np.float32(19.365175)}]","[2, 0, 1, 3, 5]"
1184,success,[156. 272.  46.],[170.78 283.98  48.26],"[{'param_index': np.int64(2), 'original': np.float32(0.015000002), 'optimized': np.float32(0.085583024), 'change_pct': np.float32(470.5534)}, {'param_index': np.int64(0), 'original': np.float32(0.004129794), 'optimized': np.float32(0.09115721), 'change_pct': np.float32(2107.3064)}, {'param_index': np.int64(5), 'original': np.float32(0.7582417), 'optimized': np.float32(0.68669164), 'change_pct': np.float32(-9.436315)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.045779217), 'change_pct': np.float32(3150.3242)}, {'param_index': np.int64(6), 'original': np.float32(0.0), 'optimized': np.float32(0.0042373873), 'change_pct': np.float32(inf)}]","[2, 0, 5, 1, 6]"
