sample_id,status,original_performance,optimized_performance,param_changes,top_params
91,success,[473. 612.  17.],[426.76 591.16  28.35],"[{'param_index': np.int64(2), 'original': np.float32(0.595), 'optimized': np.float32(0.6679811), 'change_pct': np.float32(12.265724)}, {'param_index': np.int64(6), 'original': np.float32(0.6909091), 'optimized': np.float32(0.5934875), 'change_pct': np.float32(-14.100493)}, {'param_index': np.int64(0), 'original': np.float32(0.45722714), 'optimized': np.float32(0.40303642), 'change_pct': np.float32(-11.8520355)}, {'param_index': np.int64(1), 'original': np.float32(0.35211268), 'optimized': np.float32(0.25818068), 'change_pct': np.float32(-26.676687)}, {'param_index': np.int64(5), 'original': np.float32(0.30769232), 'optimized': np.float32(0.2210713), 'change_pct': np.float32(-28.151829)}]","[2, 6, 0, 1, 5]"
103,success,[449.  676.   20.5],[423.53  631.13   30.825],"[{'param_index': np.int64(2), 'original': np.float32(0.90000004), 'optimized': np.float32(0.89426935), 'change_pct': np.float32(-0.6367431)}, {'param_index': np.int64(0), 'original': np.float32(0.41002947), 'optimized': np.float32(0.4474227), 'change_pct': np.float32(9.119648)}, {'param_index': np.int64(1), 'original': np.float32(0.35211268), 'optimized': np.float32(0.25253806), 'change_pct': np.float32(-28.279194)}, {'param_index': np.int64(5), 'original': np.float32(0.19780219), 'optimized': np.float32(0.10526853), 'change_pct': np.float32(-46.780907)}, {'param_index': np.int64(12), 'original': np.float32(0.18072295), 'optimized': np.float32(0.12139953), 'change_pct': np.float32(-32.825615)}]","[2, 0, 1, 5, 12]"
106,success,[435.  791.   21.5],[443.84  693.48   27.645],"[{'param_index': np.int64(2), 'original': np.float32(0.89500004), 'optimized': np.float32(0.7975), 'change_pct': np.float32(-10.893858)}, {'param_index': np.int64(0), 'original': np.float32(0.71091443), 'optimized': np.float32(0.80973446), 'change_pct': np.float32(13.900412)}, {'param_index': np.int64(1), 'original': np.float32(0.52112675), 'optimized': np.float32(0.53649324), 'change_pct': np.float32(2.948706)}, {'param_index': np.int64(3), 'original': np.float32(0.21348315), 'optimized': np.float32(0.115730345), 'change_pct': np.float32(-45.78947)}, {'param_index': np.int64(5), 'original': np.float32(0.043956045), 'optimized': np.float32(0.0), 'change_pct': np.float32(-100.0)}]","[2, 0, 1, 3, 5]"
129,success,[510. 604.  14.],[480.9  568.87  27.45],"[{'param_index': np.int64(2), 'original': np.float32(0.47), 'optimized': np.float32(0.54487246), 'change_pct': np.float32(15.930311)}, {'param_index': np.int64(6), 'original': np.float32(0.7090909), 'optimized': np.float32(0.7588723), 'change_pct': np.float32(7.020452)}, {'param_index': np.int64(0), 'original': np.float32(0.4277286), 'optimized': np.float32(0.3751257), 'change_pct': np.float32(-12.298193)}, {'param_index': np.int64(1), 'original': np.float32(0.30985916), 'optimized': np.float32(0.23733495), 'change_pct': np.float32(-23.405539)}, {'param_index': np.int64(5), 'original': np.float32(0.3186813), 'optimized': np.float32(0.22094405), 'change_pct': np.float32(-30.669277)}]","[2, 6, 0, 1, 5]"
135,success,[435. 543.  21.],[422.68 535.9   27.49],"[{'param_index': np.int64(6), 'original': np.float32(0.76363635), 'optimized': np.float32(0.6691031), 'change_pct': np.float32(-12.379356)}, {'param_index': np.int64(0), 'original': np.float32(0.35103244), 'optimized': np.float32(0.41992244), 'change_pct': np.float32(19.624968)}, {'param_index': np.int64(2), 'original': np.float32(0.46), 'optimized': np.float32(0.3793136), 'change_pct': np.float32(-17.540527)}, {'param_index': np.int64(1), 'original': np.float32(0.28169015), 'optimized': np.float32(0.18624264), 'change_pct': np.float32(-33.883865)}, {'param_index': np.int64(5), 'original': np.float32(0.30769232), 'optimized': np.float32(0.21017691), 'change_pct': np.float32(-31.692505)}]","[6, 0, 2, 1, 5]"
141,success,[133.  280.   47.5],[161.21 326.34  46.46],"[{'param_index': np.int64(2), 'original': np.float32(0.015000002), 'optimized': np.float32(0.09878822), 'change_pct': np.float32(558.588)}, {'param_index': np.int64(0), 'original': np.float32(0.004719764), 'optimized': np.float32(0.043403327), 'change_pct': np.float32(819.60803)}, {'param_index': np.int64(5), 'original': np.float32(0.7692308), 'optimized': np.float32(0.67574704), 'change_pct': np.float32(-12.152887)}, {'param_index': np.int64(1), 'original': np.float32(0.0042253523), 'optimized': np.float32(0.07141724), 'change_pct': np.float32(1590.208)}, {'param_index': np.int64(12), 'original': np.float32(0.9558232), 'optimized': np.float32(0.8847542), 'change_pct': np.float32(-7.435371)}]","[2, 0, 5, 1, 12]"
148,success,[453. 558.  20.],[425.65  539.34   27.185],"[{'param_index': np.int64(6), 'original': np.float32(0.76363635), 'optimized': np.float32(0.86309195), 'change_pct': np.float32(13.023947)}, {'param_index': np.int64(0), 'original': np.float32(0.35103244), 'optimized': np.float32(0.38898602), 'change_pct': np.float32(10.811988)}, {'param_index': np.int64(2), 'original': np.float32(0.46), 'optimized': np.float32(0.36793754), 'change_pct': np.float32(-20.01358)}, {'param_index': np.int64(1), 'original': np.float32(0.28169015), 'optimized': np.float32(0.1817033), 'change_pct': np.float32(-35.49533)}, {'param_index': np.int64(5), 'original': np.float32(0.30769232), 'optimized': np.float32(0.21565825), 'change_pct': np.float32(-29.911072)}]","[6, 0, 2, 1, 5]"
172,success,[132. 283.  46.],[161.57 304.85  46.63],"[{'param_index': np.int64(2), 'original': np.float32(0.020000001), 'optimized': np.float32(0.08134791), 'change_pct': np.float32(306.73953)}, {'param_index': np.int64(0), 'original': np.float32(0.004129794), 'optimized': np.float32(0.08243654), 'change_pct': np.float32(1896.1416)}, {'param_index': np.int64(5), 'original': np.float32(0.7582417), 'optimized': np.float32(0.8326923), 'change_pct': np.float32(9.81885)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.098189905), 'change_pct': np.float32(6871.483)}, {'param_index': np.int64(12), 'original': np.float32(0.9116466), 'optimized': np.float32(0.8685593), 'change_pct': np.float32(-4.7263165)}]","[2, 0, 5, 1, 12]"
189,success,[422.  649.   21.5],[419.37 630.13  24.62],"[{'param_index': np.int64(2), 'original': np.float32(0.91), 'optimized': np.float32(0.84694284), 'change_pct': np.float32(-6.929361)}, {'param_index': np.int64(0), 'original': np.float32(0.43362832), 'optimized': np.float32(0.41236272), 'change_pct': np.float32(-4.904107)}, {'param_index': np.int64(1), 'original': np.float32(0.36619717), 'optimized': np.float32(0.2713665), 'change_pct': np.float32(-25.896067)}, {'param_index': np.int64(5), 'original': np.float32(0.23076922), 'optimized': np.float32(0.1346095), 'change_pct': np.float32(-41.669212)}, {'param_index': np.int64(12), 'original': np.float32(0.1686747), 'optimized': np.float32(0.07272733), 'change_pct': np.float32(-56.883083)}]","[2, 0, 1, 5, 12]"
196,success,[132. 282.  46.],[167.3  305.54  45.69],"[{'param_index': np.int64(2), 'original': np.float32(0.015000002), 'optimized': np.float32(0.06560863), 'change_pct': np.float32(337.3908)}, {'param_index': np.int64(0), 'original': np.float32(0.004129794), 'optimized': np.float32(0.023572084), 'change_pct': np.float32(470.78113)}, {'param_index': np.int64(5), 'original': np.float32(0.85714287), 'optimized': np.float32(0.75922775), 'change_pct': np.float32(-11.4234295)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.0029131882), 'change_pct': np.float32(106.83636)}, {'param_index': np.int64(12), 'original': np.float32(0.9196787), 'optimized': np.float32(0.82877296), 'change_pct': np.float32(-9.884509)}]","[2, 0, 5, 1, 12]"
