sample_id,status,original_performance,optimized_performance,param_changes,top_params_index,top_paras
91,success,"[473.0, 612.0, 17.0]","[444.88, 598.07, 23.26]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 1.25, 'opt_val': 1.2114640474319458, 'change_pct': -3.082876279950142}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.07800000160932541, 'opt_val': 0.0644007995724678, 'change_pct': -17.434874176979065}, {'param_idx': 6, 'param_name': '化学元素含量过程的铌', 'ori_val': 0.03799999877810478, 'opt_val': 0.03970133140683174, 'change_pct': 4.477191343903542}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.25, 'opt_val': 0.32099997997283936, 'change_pct': 28.399991989135742}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.02800000086426735, 'opt_val': 0.023388460278511047, 'change_pct': -16.469787061214447}]","[2, 0, 6, 1, 5]","['锰', '碳', '铌', '硅', '钛']"
103,success,"[449.0, 676.0, 20.5]","[423.72, 608.62, 22.91]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 1.8600000143051147, 'opt_val': 1.9440336227416992, 'change_pct': 4.517935961484909}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.07000000029802322, 'opt_val': 0.058026112616062164, 'change_pct': -17.105554044246674}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.25, 'opt_val': 0.18776050209999084, 'change_pct': -24.895799160003662}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.017999999225139618, 'opt_val': 0.01305626705288887, 'change_pct': -27.465179562568665}, {'param_idx': 12, 'param_name': '热轧过程的卷取温度平均值', 'ori_val': 552.0, 'opt_val': 574.2999877929688, 'change_pct': 4.0398526936769485}]","[2, 0, 1, 5, 12]","['锰', '碳', '硅', '钛', '卷取温度平均值']"
106,success,"[435.0, 791.0, 21.5]","[465.46, 724.88, 25.81]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 1.850000023841858, 'opt_val': 1.980701208114624, 'change_pct': 7.064928859472275}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.12099999189376831, 'opt_val': 0.11723379045724869, 'change_pct': -3.1125633046031}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.3699999749660492, 'opt_val': 0.29899999499320984, 'change_pct': -19.18918490409851}, {'param_idx': 3, 'param_name': '化学元素含量过程的磷', 'ori_val': 0.02199999988079071, 'opt_val': 0.015218143351376057, 'change_pct': -30.826619267463684}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.004000000189989805, 'opt_val': 0.0044268094934523106, 'change_pct': 10.670232027769089}]","[2, 0, 1, 3, 5]","['锰', '碳', '硅', '磷', '钛']"
129,success,"[510.0, 604.0, 14.0]","[480.65, 582.58, 24.5]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 1.0, 'opt_val': 1.1556459665298462, 'change_pct': 15.56459665298462}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.0729999989271164, 'opt_val': 0.07471989095211029, 'change_pct': 2.3560164496302605}, {'param_idx': 6, 'param_name': '化学元素含量过程的铌', 'ori_val': 0.039000000804662704, 'opt_val': 0.04450000077486038, 'change_pct': 14.102563261985779}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.2199999988079071, 'opt_val': 0.29099997878074646, 'change_pct': 32.272717356681824}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.028999999165534973, 'opt_val': 0.019973237067461014, 'change_pct': -31.12676739692688}]","[2, 0, 6, 1, 5]","['锰', '碳', '铌', '硅', '钛']"
135,success,"[435.0, 543.0, 21.0]","[422.48, 542.55, 23.06]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 0.9800000190734863, 'opt_val': 0.8420540690422058, 'change_pct': -14.076116681098938}, {'param_idx': 6, 'param_name': '化学元素含量过程的铌', 'ori_val': 0.041999999433755875, 'opt_val': 0.0364999994635582, 'change_pct': -13.0952388048172}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.06000000238418579, 'opt_val': 0.05021316558122635, 'change_pct': -16.311393678188324}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.20000000298023224, 'opt_val': 0.13769179582595825, 'change_pct': -31.154102087020874}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.02800000086426735, 'opt_val': 0.03710000216960907, 'change_pct': 32.50000476837158}]","[2, 6, 0, 1, 5]","['锰', '铌', '碳', '硅', '钛']"
141,success,"[133.0, 280.0, 47.5]","[134.96, 280.17, 47.625]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 0.09000000357627869, 'opt_val': 0.05999999865889549, 'change_pct': -33.33333730697632}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.0013000000035390258, 'opt_val': 0.0005000000237487257, 'change_pct': -61.5384578704834}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.07000000029802322, 'opt_val': 0.07446756958961487, 'change_pct': 6.38224184513092}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.003000000026077032, 'opt_val': 0.006343733984977007, 'change_pct': 111.45780086517334}, {'param_idx': 12, 'param_name': '热轧过程的卷取温度平均值', 'ori_val': 745.0, 'opt_val': 748.225830078125, 'change_pct': 0.4329973366111517}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
148,success,"[453.0, 558.0, 20.0]","[450.49, 563.27, 24.44]","[{'param_idx': 6, 'param_name': '化学元素含量过程的铌', 'ori_val': 0.041999999433755875, 'opt_val': 0.046321090310811996, 'change_pct': 10.288311541080475}, {'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 0.9800000190734863, 'opt_val': 1.1743462085723877, 'change_pct': 19.83124315738678}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.06000000238418579, 'opt_val': 0.0767500028014183, 'change_pct': 27.916666865348816}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.20000000298023224, 'opt_val': 0.20000000298023224, 'change_pct': 0.0}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.02800000086426735, 'opt_val': 0.023109136149287224, 'change_pct': -17.467373609542847}]","[6, 2, 0, 1, 5]","['铌', '锰', '碳', '硅', '钛']"
172,success,"[132.0, 283.0, 46.0]","[152.67, 289.64, 46.475]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 0.10000000149011612, 'opt_val': 0.11753790080547333, 'change_pct': 17.53789931535721}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.0012000000569969416, 'opt_val': 0.004787271376699209, 'change_pct': 298.93925189971924}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.0689999982714653, 'opt_val': 0.07809999585151672, 'change_pct': 13.188402354717255}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.0010000000474974513, 'opt_val': 0.009442705661058426, 'change_pct': 844.2705154418945}, {'param_idx': 12, 'param_name': '热轧过程的卷取温度平均值', 'ori_val': 734.0, 'opt_val': 745.3233642578125, 'change_pct': 1.5426927246153355}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
189,success,"[422.0, 649.0, 21.5]","[419.39, 631.0, 24.48]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 1.8799999952316284, 'opt_val': 1.8041422367095947, 'change_pct': -4.034987092018127}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.07400000095367432, 'opt_val': 0.07781361043453217, 'change_pct': 5.1535263657569885}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.25999999046325684, 'opt_val': 0.24287176132202148, 'change_pct': -6.587781012058258}, {'param_idx': 12, 'param_name': '热轧过程的卷取温度平均值', 'ori_val': 549.0, 'opt_val': 526.7000122070312, 'change_pct': -4.061928391456604}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.020999999716877937, 'opt_val': 0.011899999342858791, 'change_pct': -43.33333671092987}]","[2, 0, 1, 12, 5]","['锰', '碳', '硅', '卷取温度平均值', '钛']"
196,success,"[132.0, 282.0, 46.0]","[136.89, 283.85, 46.11]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 0.09000000357627869, 'opt_val': 0.05999999865889549, 'change_pct': -33.33333730697632}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.0012000000569969416, 'opt_val': 0.0005000000237487257, 'change_pct': -58.33333134651184}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.07800000160932541, 'opt_val': 0.07335254549980164, 'change_pct': -5.958276987075806}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.0010000000474974513, 'opt_val': 0.0, 'change_pct': -100.0}, {'param_idx': 12, 'param_name': '热轧过程的卷取温度平均值', 'ori_val': 736.0, 'opt_val': 749.0, 'change_pct': 1.766304299235344}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
