sample_id,status,original_performance,optimized_performance,param_changes,top_params_index,top_paras
637,success,"[452.0, 802.0, 21.0]","[455.7, 698.28, 27.80833333333333]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 1.8600000143051147, 'opt_val': 1.6875, 'change_pct': -9.27419438958168}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.125, 'opt_val': 0.13426196575164795, 'change_pct': 7.409572601318359}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.3799999952316284, 'opt_val': 0.36034920811653137, 'change_pct': -5.171259865164757}, {'param_idx': 3, 'param_name': '化学元素含量过程的磷', 'ori_val': 0.023999998345971107, 'opt_val': 0.017049534246325493, 'change_pct': -28.960269689559937}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.004000000189989805, 'opt_val': 0.003048282116651535, 'change_pct': -23.792950809001923}]","[2, 0, 1, 3, 5]","['锰', '碳', '硅', '磷', '钛']"
641,success,"[499.0, 603.0, 16.5]","[345.76, 591.34, 30.27]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 1.0499999523162842, 'opt_val': 1.2236154079437256, 'change_pct': 16.534806787967682}, {'param_idx': 6, 'param_name': '化学元素含量过程的铌', 'ori_val': 0.039000000804662704, 'opt_val': 0.03349999710917473, 'change_pct': -14.102573692798615}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.06300000101327896, 'opt_val': 0.07975000143051147, 'change_pct': 26.58730149269104}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.1899999976158142, 'opt_val': 0.11900000274181366, 'change_pct': -37.368419766426086}, {'param_idx': 12, 'param_name': '热轧过程的卷取温度平均值', 'ori_val': 604.0, 'opt_val': 619.9802856445312, 'change_pct': 2.645742706954479}]","[2, 6, 0, 1, 12]","['锰', '铌', '碳', '硅', '卷取温度平均值']"
670,success,"[450.0, 810.0, 21.5]","[445.22, 730.44, 23.64]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 1.8799999952316284, 'opt_val': 1.795798897743225, 'change_pct': -4.478781670331955}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.12300000339746475, 'opt_val': 0.10804185271263123, 'change_pct': -12.161097675561905}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.3799999952316284, 'opt_val': 0.4045003354549408, 'change_pct': 6.447458267211914}, {'param_idx': 3, 'param_name': '化学元素含量过程的磷', 'ori_val': 0.02500000223517418, 'opt_val': 0.028935080394148827, 'change_pct': 15.74031114578247}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.004000000189989805, 'opt_val': 0.01309999916702509, 'change_pct': 227.49998569488525}]","[2, 0, 1, 3, 5]","['锰', '碳', '硅', '磷', '钛']"
695,success,"[478.0, 600.0, 18.0]","[465.25, 591.91, 23.475]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 1.25, 'opt_val': 1.3024158477783203, 'change_pct': 4.193267971277237}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.07599999755620956, 'opt_val': 0.08650828152894974, 'change_pct': 13.82669061422348}, {'param_idx': 6, 'param_name': '化学元素含量过程的铌', 'ori_val': 0.041999999433755875, 'opt_val': 0.0401940755546093, 'change_pct': -4.299818724393845}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.23999999463558197, 'opt_val': 0.3109999895095825, 'change_pct': 29.58333194255829}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.028999999165534973, 'opt_val': 0.022258957847952843, 'change_pct': -23.24497103691101}]","[2, 0, 6, 1, 5]","['锰', '碳', '铌', '硅', '钛']"
717,success,"[139.0, 277.0, 46.0]","[148.03, 286.71, 46.89]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 0.07999999821186066, 'opt_val': 0.05999999865889549, 'change_pct': -25.0}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.0012000000569969416, 'opt_val': 0.0031291472259908915, 'change_pct': 160.76226234436035}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.07000000029802322, 'opt_val': 0.0623907670378685, 'change_pct': -10.870333015918732}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.0010000000474974513, 'opt_val': 0.019176680594682693, 'change_pct': 1817.6679611206055}, {'param_idx': 12, 'param_name': '热轧过程的卷取温度平均值', 'ori_val': 742.0, 'opt_val': 744.9902954101562, 'change_pct': 0.40300479158759117}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
732,success,"[465.0, 557.0, 21.0]","[440.28, 539.64, 23.045]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 1.0, 'opt_val': 1.1949999332427979, 'change_pct': 19.499993324279785}, {'param_idx': 6, 'param_name': '化学元素含量过程的铌', 'ori_val': 0.04100000113248825, 'opt_val': 0.035499997437000275, 'change_pct': -13.414642214775085}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.06499999761581421, 'opt_val': 0.048249997198581696, 'change_pct': -25.76923370361328}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.20000000298023224, 'opt_val': 0.1813340187072754, 'change_pct': -9.332992136478424}, {'param_idx': 12, 'param_name': '热轧过程的卷取温度平均值', 'ori_val': 604.0, 'opt_val': 626.300048828125, 'change_pct': 3.6920610815286636}]","[2, 6, 0, 1, 12]","['锰', '铌', '碳', '硅', '卷取温度平均值']"
739,success,"[138.0, 273.0, 49.5]","[156.37, 282.03, 48.635]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 0.07999999821186066, 'opt_val': 0.1875, 'change_pct': 134.375}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.0010000000474974513, 'opt_val': 0.00962500087916851, 'change_pct': 862.5}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.0689999982714653, 'opt_val': 0.05990000069141388, 'change_pct': -13.188402354717255}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.0010000000474974513, 'opt_val': 0.0, 'change_pct': -100.0}, {'param_idx': 12, 'param_name': '热轧过程的卷取温度平均值', 'ori_val': 740.0, 'opt_val': 744.967529296875, 'change_pct': 0.6712877657264471}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
755,success,"[130.0, 273.0, 47.5]","[143.38, 290.93, 47.075]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 0.07999999821186066, 'opt_val': 0.1163971945643425, 'change_pct': 45.49649655818939}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.0010999999940395355, 'opt_val': 0.0005000000237487257, 'change_pct': -54.54545021057129}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.06400000303983688, 'opt_val': 0.05515311285853386, 'change_pct': -13.823264837265015}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.0010000000474974513, 'opt_val': 0.03700000047683716, 'change_pct': 3600.0}, {'param_idx': 12, 'param_name': '热轧过程的卷取温度平均值', 'ori_val': 739.0, 'opt_val': 722.8500366210938, 'change_pct': -2.185380645096302}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
789,success,"[456.0, 559.0, 22.0]","[418.51, 554.91, 22.585]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 1.0399999618530273, 'opt_val': 0.8449999690055847, 'change_pct': -18.75}, {'param_idx': 6, 'param_name': '化学元素含量过程的铌', 'ori_val': 0.03999999910593033, 'opt_val': 0.045499999076128006, 'change_pct': 13.750000298023224}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.07000000029802322, 'opt_val': 0.0815129205584526, 'change_pct': 16.447028517723083}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.20999999344348907, 'opt_val': 0.13899999856948853, 'change_pct': -33.80952179431915}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.03099999949336052, 'opt_val': 0.027702772989869118, 'change_pct': -10.636214911937714}]","[2, 6, 0, 1, 5]","['锰', '铌', '碳', '硅', '钛']"
801,success,"[131.0, 273.0, 48.5]","[134.7, 285.28, 46.85]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 0.07999999821186066, 'opt_val': 0.05999999865889549, 'change_pct': -25.0}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.0010999999940395355, 'opt_val': 0.0005000000237487257, 'change_pct': -54.54545021057129}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.06400000303983688, 'opt_val': 0.07294391095638275, 'change_pct': 13.974855840206146}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.0010000000474974513, 'opt_val': 0.012506438419222832, 'change_pct': 1150.6437301635742}, {'param_idx': 12, 'param_name': '热轧过程的卷取温度平均值', 'ori_val': 742.0, 'opt_val': 732.5614624023438, 'change_pct': -1.2720401398837566}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
806,success,"[171.0, 277.0, 48.0]","[174.39, 282.9, 49.295]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 0.11999999731779099, 'opt_val': 0.20157404243946075, 'change_pct': 67.97837018966675}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.0015999999595806003, 'opt_val': 0.0005000000237487257, 'change_pct': -68.75}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.06809999793767929, 'opt_val': 0.07719999551773071, 'change_pct': 13.362698256969452}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.0, 'opt_val': 0.0, 'change_pct': nan}, {'param_idx': 12, 'param_name': '热轧过程的卷取温度平均值', 'ori_val': 735.0, 'opt_val': 741.2947387695312, 'change_pct': 0.8564270101487637}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
816,success,"[496.0, 623.0, 18.0]","[492.06, 533.5, 26.97]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 1.2599999904632568, 'opt_val': 1.1436947584152222, 'change_pct': -9.23057422041893}, {'param_idx': 6, 'param_name': '化学元素含量过程的铌', 'ori_val': 0.041999999433755875, 'opt_val': 0.0364999994635582, 'change_pct': -13.0952388048172}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.07800000160932541, 'opt_val': 0.07163925468921661, 'change_pct': -8.15480351448059}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.25, 'opt_val': 0.17900000512599945, 'change_pct': -28.39999794960022}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.02500000223517418, 'opt_val': 0.015900002792477608, 'change_pct': -36.39999330043793}]","[2, 6, 0, 1, 5]","['锰', '铌', '碳', '硅', '钛']"
819,success,"[511.0, 600.0, 16.5]","[476.47, 559.08, 24.54]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 1.0099999904632568, 'opt_val': 1.1417253017425537, 'change_pct': 13.042110204696655}, {'param_idx': 6, 'param_name': '化学元素含量过程的铌', 'ori_val': 0.03999999910593033, 'opt_val': 0.03470534831285477, 'change_pct': -13.236626982688904}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.06300000101327896, 'opt_val': 0.06944424659013748, 'change_pct': 10.22896096110344}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.20999999344348907, 'opt_val': 0.20258207619190216, 'change_pct': -3.532341495156288}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.02800000086426735, 'opt_val': 0.020151693373918533, 'change_pct': -28.02966833114624}]","[2, 6, 0, 1, 5]","['锰', '铌', '碳', '硅', '钛']"
832,success,"[127.0, 271.0, 49.5]","[135.4, 284.09, 47.4]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 0.07999999821186066, 'opt_val': 0.17369762063026428, 'change_pct': 117.12203025817871}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.0010999999940395355, 'opt_val': 0.0017310635885223746, 'change_pct': 57.36941695213318}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.07000000029802322, 'opt_val': 0.06567609310150146, 'change_pct': -6.177010387182236}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.0010000000474974513, 'opt_val': 0.012584582902491093, 'change_pct': 1158.4582328796387}, {'param_idx': 12, 'param_name': '热轧过程的卷取温度平均值', 'ori_val': 742.0, 'opt_val': 747.79931640625, 'change_pct': 0.7815790362656116}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
839,success,"[518.0, 854.0, 22.0]","[500.28, 720.79, 26.241666666666664]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 1.9299999475479126, 'opt_val': 1.9470347166061401, 'change_pct': 0.8826305158436298}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.12099999189376831, 'opt_val': 0.13774998486042023, 'change_pct': 13.842970132827759}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.3699999749660492, 'opt_val': 0.38291576504707336, 'change_pct': 3.4907542169094086}, {'param_idx': 3, 'param_name': '化学元素含量过程的磷', 'ori_val': 0.02500000223517418, 'opt_val': 0.016300002112984657, 'change_pct': -34.79999601840973}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.004999999888241291, 'opt_val': 0.0, 'change_pct': -100.0}]","[2, 0, 1, 3, 5]","['锰', '碳', '硅', '磷', '钛']"
845,success,"[131.0, 285.0, 46.0]","[158.23, 295.77, 46.325]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 0.07999999821186066, 'opt_val': 0.05999999865889549, 'change_pct': -25.0}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.0015999999595806003, 'opt_val': 0.00694157974794507, 'change_pct': 333.8487386703491}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.07000000029802322, 'opt_val': 0.06732433289289474, 'change_pct': -3.822382166981697}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.0010000000474974513, 'opt_val': 0.01794203370809555, 'change_pct': 1694.2031860351562}, {'param_idx': 12, 'param_name': '热轧过程的卷取温度平均值', 'ori_val': 736.0, 'opt_val': 718.3499755859375, 'change_pct': -2.3981010541319847}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
849,success,"[132.0, 283.0, 50.0]","[135.25, 281.14, 48.01]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 0.07999999821186066, 'opt_val': 0.05999999865889549, 'change_pct': -25.0}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.0010999999940395355, 'opt_val': 0.0005000000237487257, 'change_pct': -54.54545021057129}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.07500000298023224, 'opt_val': 0.08410000801086426, 'change_pct': 12.133339792490005}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.0010000000474974513, 'opt_val': 0.0, 'change_pct': -100.0}, {'param_idx': 12, 'param_name': '热轧过程的卷取温度平均值', 'ori_val': 739.0, 'opt_val': 749.0, 'change_pct': 1.353179942816496}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
864,success,"[129.0, 270.0, 50.0]","[149.78, 280.78, 48.93]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 0.07999999821186066, 'opt_val': 0.16547682881355286, 'change_pct': 106.8460464477539}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.0010000000474974513, 'opt_val': 0.0054570832289755344, 'change_pct': 445.7082748413086}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.07599999755620956, 'opt_val': 0.07198765128850937, 'change_pct': -5.279403179883957}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.0010000000474974513, 'opt_val': 0.0031871499959379435, 'change_pct': 218.7150001525879}, {'param_idx': 12, 'param_name': '热轧过程的卷取温度平均值', 'ori_val': 743.0, 'opt_val': 740.6829223632812, 'change_pct': -0.31185431871563196}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
874,success,"[130.0, 281.0, 48.0]","[155.71, 287.77, 46.455]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 0.09000000357627869, 'opt_val': 0.10019872337579727, 'change_pct': 11.331910640001297}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.0010999999940395355, 'opt_val': 0.005428674630820751, 'change_pct': 393.51587295532227}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.0729999989271164, 'opt_val': 0.07091735303401947, 'change_pct': -2.8529396280646324}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.0010000000474974513, 'opt_val': 0.0, 'change_pct': -100.0}, {'param_idx': 12, 'param_name': '热轧过程的卷取温度平均值', 'ori_val': 740.0, 'opt_val': 724.3499755859375, 'change_pct': -2.1148681640625}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
883,success,"[475.0, 580.0, 18.0]","[412.65, 559.11, 22.85]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 1.0299999713897705, 'opt_val': 0.9034370183944702, 'change_pct': -12.287665903568268}, {'param_idx': 6, 'param_name': '化学元素含量过程的铌', 'ori_val': 0.0430000014603138, 'opt_val': 0.03846988081932068, 'change_pct': -10.535164177417755}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.0689999982714653, 'opt_val': 0.08485496789216995, 'change_pct': 22.978217899799347}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.20999999344348907, 'opt_val': 0.13899999856948853, 'change_pct': -33.80952179431915}, {'param_idx': 12, 'param_name': '热轧过程的卷取温度平均值', 'ori_val': 601.0, 'opt_val': 585.8040161132812, 'change_pct': -2.5284498929977417}]","[2, 6, 0, 1, 12]","['锰', '铌', '碳', '硅', '卷取温度平均值']"
887,success,"[492.0, 846.0, 22.0]","[440.3, 686.7966666666667, 23.94]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 1.9299999475479126, 'opt_val': 1.8224161863327026, 'change_pct': -5.574288219213486}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.11800000071525574, 'opt_val': 0.11528964340686798, 'change_pct': -2.296913042664528}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.3799999952316284, 'opt_val': 0.3089999854564667, 'change_pct': -18.684212863445282}, {'param_idx': 3, 'param_name': '化学元素含量过程的磷', 'ori_val': 0.02500000223517418, 'opt_val': 0.032839562743902206, 'change_pct': 31.35823905467987}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.004000000189989805, 'opt_val': 0.01309999916702509, 'change_pct': 227.49998569488525}]","[2, 0, 1, 3, 5]","['锰', '碳', '硅', '磷', '钛']"
890,success,"[452.0, 554.0, 20.5]","[367.48, 524.56, 29.505]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 1.0, 'opt_val': 1.1026899814605713, 'change_pct': 10.268998146057129}, {'param_idx': 6, 'param_name': '化学元素含量过程的铌', 'ori_val': 0.03799999877810478, 'opt_val': 0.032499998807907104, 'change_pct': -14.473684132099152}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.06700000166893005, 'opt_val': 0.08102389425039291, 'change_pct': 20.93118280172348}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.18000000715255737, 'opt_val': 0.16341382265090942, 'change_pct': -9.214546531438828}, {'param_idx': 12, 'param_name': '热轧过程的卷取温度平均值', 'ori_val': 602.0, 'opt_val': 607.3899536132812, 'change_pct': 0.8953411132097244}]","[2, 6, 0, 1, 12]","['锰', '铌', '碳', '硅', '卷取温度平均值']"
905,success,"[460.0, 569.0, 19.5]","[454.79, 541.61, 25.58]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 0.9800000190734863, 'opt_val': 0.9307624101638794, 'change_pct': -5.0242457538843155}, {'param_idx': 6, 'param_name': '化学元素含量过程的铌', 'ori_val': 0.03999999910593033, 'opt_val': 0.04196450114250183, 'change_pct': 4.911255091428757}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.06499999761581421, 'opt_val': 0.06364205479621887, 'change_pct': -2.0891427993774414}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.20999999344348907, 'opt_val': 0.19867731630802155, 'change_pct': -5.391751229763031}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.026000002399086952, 'opt_val': 0.024613944813609123, 'change_pct': -5.330990254878998}]","[2, 6, 0, 1, 5]","['锰', '铌', '碳', '硅', '钛']"
929,success,"[476.0, 573.0, 21.5]","[459.58, 560.1, 24.585]","[{'param_idx': 6, 'param_name': '化学元素含量过程的铌', 'ori_val': 0.039000000804662704, 'opt_val': 0.03719564154744148, 'change_pct': -4.62656207382679}, {'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 0.9900000095367432, 'opt_val': 1.184999942779541, 'change_pct': 19.69696283340454}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.06300000101327896, 'opt_val': 0.047954633831977844, 'change_pct': -23.881535232067108}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.20000000298023224, 'opt_val': 0.2709999978542328, 'change_pct': 35.499995946884155}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.029999999329447746, 'opt_val': 0.020899999886751175, 'change_pct': -30.33333122730255}]","[6, 2, 0, 1, 5]","['铌', '锰', '碳', '硅', '钛']"
939,success,"[134.0, 275.0, 49.0]","[148.16, 280.95, 48.115]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 0.09000000357627869, 'opt_val': 0.05999999865889549, 'change_pct': -33.33333730697632}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.0010000000474974513, 'opt_val': 0.007408382371068001, 'change_pct': 640.8381938934326}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.07500000298023224, 'opt_val': 0.06589999794960022, 'change_pct': -12.133339792490005}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.0010000000474974513, 'opt_val': 0.03700000047683716, 'change_pct': 3600.0}, {'param_idx': 12, 'param_name': '热轧过程的卷取温度平均值', 'ori_val': 742.0, 'opt_val': 742.9003295898438, 'change_pct': 0.12133822310715914}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
950,success,"[130.0, 285.0, 48.0]","[157.49, 294.55, 46.42]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 0.10000000149011612, 'opt_val': 0.05999999865889549, 'change_pct': -40.00000357627869}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.0014000000664964318, 'opt_val': 0.004679698031395674, 'change_pct': 234.26413536071777}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.06800000369548798, 'opt_val': 0.06922326236963272, 'change_pct': 1.798909716308117}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.0020000000949949026, 'opt_val': 0.03849999979138374, 'change_pct': 1824.9998092651367}, {'param_idx': 12, 'param_name': '热轧过程的卷取温度平均值', 'ori_val': 738.0, 'opt_val': 721.3499755859375, 'change_pct': -2.2561008110642433}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
958,success,"[134.0, 277.0, 45.0]","[152.55, 282.04, 45.755]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 0.09000000357627869, 'opt_val': 0.14298883080482483, 'change_pct': 58.87647271156311}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.0012000000569969416, 'opt_val': 0.008657125756144524, 'change_pct': 621.4271545410156}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.07800000160932541, 'opt_val': 0.0699583888053894, 'change_pct': -10.30975952744484}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.0010000000474974513, 'opt_val': 0.0, 'change_pct': -100.0}, {'param_idx': 12, 'param_name': '热轧过程的卷取温度平均值', 'ori_val': 740.0, 'opt_val': 749.0, 'change_pct': 1.2162161991000175}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
962,success,"[139.0, 276.0, 51.0]","[149.07, 282.45, 47.525]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 0.09000000357627869, 'opt_val': 0.20250001549720764, 'change_pct': 125.00001192092896}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.0010000000474974513, 'opt_val': 0.007193795405328274, 'change_pct': 619.379472732544}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.07500000298023224, 'opt_val': 0.07344937324523926, 'change_pct': -2.0675063133239746}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.0010000000474974513, 'opt_val': 0.0, 'change_pct': -100.0}, {'param_idx': 12, 'param_name': '热轧过程的卷取温度平均值', 'ori_val': 741.0, 'opt_val': 741.26904296875, 'change_pct': 0.03630809369497001}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
985,success,"[133.0, 285.0, 47.5]","[147.88, 287.78, 48.3]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 0.10000000149011612, 'opt_val': 0.05999999865889549, 'change_pct': -40.00000357627869}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.0017999999690800905, 'opt_val': 0.010824999772012234, 'change_pct': 501.38888359069824}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.07000000029802322, 'opt_val': 0.06774048507213593, 'change_pct': -3.2278787344694138}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.0010000000474974513, 'opt_val': 0.03325185552239418, 'change_pct': 3225.1853942871094}, {'param_idx': 12, 'param_name': '热轧过程的卷取温度平均值', 'ori_val': 745.0, 'opt_val': 749.0, 'change_pct': 0.5369127728044987}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
