sample_id,status,original_performance,optimized_performance,param_changes,top_params_index,top_params
1149,success,"[359.0, 632.0, 22.0]","[368.58, 584.8, 29.315]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.8950000405311584, 'optimized': 0.7986415028572083, 'change_pct': -10.766316413879395}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.4395280182361603, 'optimized': 0.3573485016822815, 'change_pct': -18.69721794128418}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.30985915660858154, 'optimized': 0.21323609352111816, 'change_pct': -31.182897567749023}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.27710843086242676, 'optimized': 0.2855656147003174, 'change_pct': 3.051940441131592}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.21978020668029785, 'optimized': 0.20089785754680634, 'change_pct': -8.591469764709473}]","[2, 0, 1, 12, 5]","['锰', '碳', '硅', '卷取温度平均值', '钛']"
1151,success,"[134.0, 277.0, 48.0]","[161.84, 323.52, 46.76]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.015000002458691597, 'optimized': 0.10830437391996384, 'change_pct': 622.029052734375}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.0064896754920482635, 'optimized': 0.1052897721529007, 'change_pct': 1522.419677734375}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.7032967209815979, 'optimized': 0.67200767993927, 'change_pct': -4.448910236358643}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.0014084507711231709, 'optimized': 0.059905312955379486, 'change_pct': 4153.27734375}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.9196786880493164, 'optimized': 0.8858038783073425, 'change_pct': -3.683330774307251}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
1155,success,"[130.0, 295.0, 44.5]","[160.88, 326.23, 45.465]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.020000001415610313, 'optimized': 0.11238592863082886, 'change_pct': 461.9295959472656}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.003539822995662689, 'optimized': 0.09349260479211807, 'change_pct': 2541.166015625}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.8131868243217468, 'optimized': 0.722819447517395, 'change_pct': -11.11274528503418}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.0014084507711231709, 'optimized': 0.0836985781788826, 'change_pct': 5842.5986328125}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.9357428550720215, 'optimized': 0.8470366597175598, 'change_pct': -9.479762077331543}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
1171,success,"[432.0, 697.0, 20.0]","[427.76, 638.27, 31.64]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.9000000357627869, 'optimized': 0.8752069473266602, 'change_pct': -2.7547874450683594}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.41002947092056274, 'optimized': 0.48101621866226196, 'change_pct': 17.312597274780273}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.35211268067359924, 'optimized': 0.2605518102645874, 'change_pct': -26.003286361694336}, {'param_index': 49, 'param': '冷轧过程的3#酸槽温度', 'original': 0.989130437374115, 'optimized': 0.9948180317878723, 'change_pct': 0.5750095248222351}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.19780218601226807, 'optimized': 0.12343277782201767, 'change_pct': -37.597869873046875}]","[2, 0, 1, 49, 5]","['锰', '碳', '硅', '3#酸槽温度', '钛']"
1173,success,"[130.0, 283.0, 44.0]","[160.31, 326.8, 45.92]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.009999999776482582, 'optimized': 0.09619342535734177, 'change_pct': 861.9342651367188}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.003539822995662689, 'optimized': 0.04083786532282829, 'change_pct': 1053.669677734375}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.7912087440490723, 'optimized': 0.7063775062561035, 'change_pct': -10.721726417541504}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.0014084507711231709, 'optimized': 0.08031530678272247, 'change_pct': 5602.38671875}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.9317269325256348, 'optimized': 0.8750500082969666, 'change_pct': -6.0829973220825195}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
1177,success,"[461.0, 806.0, 21.0]","[469.05, 685.11, 28.09]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.8850000500679016, 'optimized': 0.7916133999824524, 'change_pct': -10.552163124084473}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.6873156428337097, 'optimized': 0.7855859994888306, 'change_pct': 14.297704696655273}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.5352112650871277, 'optimized': 0.48981741070747375, 'change_pct': -8.481483459472656}, {'param_index': 3, 'param': '化学元素含量过程的磷', 'original': 0.23595505952835083, 'optimized': 0.14842358231544495, 'change_pct': -37.09667205810547}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.03296703100204468, 'optimized': 0.03935115411877632, 'change_pct': 19.365175247192383}]","[2, 0, 1, 3, 5]","['锰', '碳', '硅', '磷', '钛']"
1184,success,"[156.0, 272.0, 46.0]","[160.21, 321.3, 47.825]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.015000002458691597, 'optimized': 0.10128684341907501, 'change_pct': 575.2455444335938}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.004129793960601091, 'optimized': 0.0018314863555133343, 'change_pct': -55.65187454223633}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.7582417130470276, 'optimized': 0.8224760293960571, 'change_pct': 8.47148323059082}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.0014084507711231709, 'optimized': 0.0024162502959370613, 'change_pct': 71.55376434326172}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.9317269325256348, 'optimized': 0.8428146839141846, 'change_pct': -9.542736053466797}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
1194,success,"[132.0, 275.0, 46.5]","[161.47, 325.77, 45.435]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.009999999776482582, 'optimized': 0.10476140677928925, 'change_pct': 947.6140747070312}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.005899704992771149, 'optimized': 0.07226694375276566, 'change_pct': 1124.9246826171875}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.8571428656578064, 'optimized': 0.9402687549591064, 'change_pct': 9.698020935058594}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.0, 'optimized': 0.0711461678147316, 'change_pct': inf}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.9437751770019531, 'optimized': 0.8526851534843445, 'change_pct': -9.651665687561035}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
1209,success,"[444.0, 676.0, 21.0]","[366.21, 612.44, 26.4]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.9000000357627869, 'optimized': 0.8461400270462036, 'change_pct': -5.984445095062256}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.474926233291626, 'optimized': 0.3811595141887665, 'change_pct': -19.743427276611328}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.3802817165851593, 'optimized': 0.29104870557785034, 'change_pct': -23.464975357055664}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.23076921701431274, 'optimized': 0.1391524076461792, 'change_pct': -39.700618743896484}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.12449789047241211, 'optimized': 0.05443030595779419, 'change_pct': -56.28013610839844}]","[2, 0, 1, 5, 12]","['锰', '碳', '硅', '钛', '卷取温度平均值']"
1212,success,"[130.0, 276.0, 47.5]","[157.95, 325.1, 45.45]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.009999999776482582, 'optimized': 0.10000093281269073, 'change_pct': 900.0093383789062}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.003539822995662689, 'optimized': 0.09234043955802917, 'change_pct': 2508.617431640625}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.8461538553237915, 'optimized': 0.9053767323493958, 'change_pct': 6.999067306518555}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.0014084507711231709, 'optimized': 0.001550747430883348, 'change_pct': 10.103062629699707}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.9477910995483398, 'optimized': 0.857279360294342, 'change_pct': -9.549756050109863}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
1221,success,"[372.0, 631.0, 21.5]","[365.07, 620.73, 26.735]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.9100000262260437, 'optimized': 0.8272474408149719, 'change_pct': -9.093690872192383}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.41002947092056274, 'optimized': 0.35387924313545227, 'change_pct': -13.694192886352539}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.3661971688270569, 'optimized': 0.37323787808418274, 'change_pct': 1.9226553440093994}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.3052208423614502, 'optimized': 0.22028537094593048, 'change_pct': -27.827545166015625}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.18681319057941437, 'optimized': 0.08939868956804276, 'change_pct': -52.145408630371094}]","[2, 0, 1, 12, 5]","['锰', '碳', '硅', '卷取温度平均值', '钛']"
1227,success,"[131.0, 275.0, 47.5]","[159.26, 326.71, 45.935]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.009999999776482582, 'optimized': 0.09439762681722641, 'change_pct': 843.976318359375}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.004129793960601091, 'optimized': 0.04315601661801338, 'change_pct': 944.991943359375}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.7362637519836426, 'optimized': 0.6427800059318542, 'change_pct': -12.69704532623291}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.0014084507711231709, 'optimized': 0.06948705017566681, 'change_pct': 4833.58056640625}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.9437751770019531, 'optimized': 0.8770416975021362, 'change_pct': -7.070908546447754}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
1237,success,"[130.0, 281.0, 50.5]","[162.31, 324.07, 46.345]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.009999999776482582, 'optimized': 0.10247550159692764, 'change_pct': 924.755126953125}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.0029498524963855743, 'optimized': 0.08743785321712494, 'change_pct': 2864.143310546875}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.8131868243217468, 'optimized': 0.7388174533843994, 'change_pct': -9.145421981811523}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.0014084507711231709, 'optimized': 0.00427898857742548, 'change_pct': 203.80816650390625}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.9196786880493164, 'optimized': 0.8911682367324829, 'change_pct': -3.1000447273254395}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
1259,success,"[483.0, 830.0, 21.5]","[447.35, 694.36, 26.875]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.8650000095367432, 'optimized': 0.7732060551643372, 'change_pct': -10.612017631530762}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.7109144330024719, 'optimized': 0.809041440486908, 'change_pct': 13.80292797088623}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.5774648189544678, 'optimized': 0.5356242656707764, 'change_pct': -7.245558738708496}, {'param_index': 3, 'param': '化学元素含量过程的磷', 'original': 0.2584269940853119, 'optimized': 0.16080179810523987, 'change_pct': -37.776702880859375}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.03296703100204468, 'optimized': 0.1026962623000145, 'change_pct': 211.51202392578125}]","[2, 0, 1, 3, 5]","['锰', '碳', '硅', '磷', '钛']"
1276,success,"[472.0, 650.0, 21.0]","[445.84, 595.7, 26.55]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.7200000286102295, 'optimized': 0.6498754620552063, 'change_pct': -9.739522933959961}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.6873156428337097, 'optimized': 0.7210068702697754, 'change_pct': 4.901856422424316}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.3661971688270569, 'optimized': 0.34965813159942627, 'change_pct': -4.516429424285889}, {'param_index': 6, 'param': '化学元素含量过程的铌', 'original': 1.0, 'optimized': 0.9198101162910461, 'change_pct': -8.018988609313965}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.3012049198150635, 'optimized': 0.3121415078639984, 'change_pct': 3.630946159362793}]","[2, 0, 1, 6, 12]","['锰', '碳', '硅', '铌', '卷取温度平均值']"
1283,success,"[139.0, 275.0, 48.5]","[161.31, 319.86, 46.645]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.009999999776482582, 'optimized': 0.0939139872789383, 'change_pct': 839.1399536132812}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.003539822995662689, 'optimized': 0.00188893370795995, 'change_pct': -46.63762283325195}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.7362637519836426, 'optimized': 0.6526094675064087, 'change_pct': -11.36199951171875}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.0014084507711231709, 'optimized': 0.05310958996415138, 'change_pct': 3670.780517578125}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.9397590160369873, 'optimized': 0.8475903868675232, 'change_pct': -9.807687759399414}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
1313,success,"[436.0, 784.0, 21.0]","[433.71, 692.34, 28.03]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.8950000405311584, 'optimized': 0.8013940453529358, 'change_pct': -10.458769798278809}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.6814159154891968, 'optimized': 0.7796863317489624, 'change_pct': 14.421503067016602}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.5492957830429077, 'optimized': 0.5039019584655762, 'change_pct': -8.26400375366211}, {'param_index': 3, 'param': '化学元素含量过程的磷', 'original': 0.23595505952835083, 'optimized': 0.14842358231544495, 'change_pct': -37.09667205810547}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.03296703100204468, 'optimized': 0.03935115411877632, 'change_pct': 19.365175247192383}]","[2, 0, 1, 3, 5]","['锰', '碳', '硅', '磷', '钛']"
1343,success,"[139.0, 276.0, 49.0]","[162.53, 325.405, 46.785]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.015000002458691597, 'optimized': 0.1076035425066948, 'change_pct': 617.3568115234375}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.005309734493494034, 'optimized': 0.09510919451713562, 'change_pct': 1691.223388671875}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.9120878577232361, 'optimized': 0.8207722902297974, 'change_pct': -10.011707305908203}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.0028169015422463417, 'optimized': 0.08486105501651764, 'change_pct': 2912.5673828125}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.9477910995483398, 'optimized': 0.8586931228637695, 'change_pct': -9.400591850280762}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
1346,success,"[424.0, 559.0, 20.0]","[422.97, 585.06, 23.31]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.6000000238418579, 'optimized': 0.6484856009483337, 'change_pct': 8.08092975616455}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.49262535572052, 'optimized': 0.4030134975910187, 'change_pct': -18.190671920776367}, {'param_index': 6, 'param': '化学元素含量过程的铌', 'original': 0.7454545497894287, 'optimized': 0.8062630295753479, 'change_pct': 8.157235145568848}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.3380281627178192, 'optimized': 0.39414623379707336, 'change_pct': 16.60159683227539}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.24175824224948883, 'optimized': 0.3403521776199341, 'change_pct': 40.78203582763672}]","[2, 0, 6, 1, 5]","['锰', '碳', '铌', '硅', '钛']"
1375,success,"[458.0, 558.0, 21.5]","[444.38, 556.03, 29.23]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.4699999988079071, 'optimized': 0.5570521354675293, 'change_pct': 18.521730422973633}, {'param_index': 6, 'param': '化学元素含量过程的铌', 'original': 0.6727272868156433, 'optimized': 0.5925969481468201, 'change_pct': -11.911266326904297}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.38643065094947815, 'optimized': 0.44665855169296265, 'change_pct': 15.585695266723633}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.28169015049934387, 'optimized': 0.21183907985687256, 'change_pct': -24.797130584716797}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.3855421543121338, 'optimized': 0.375760555267334, 'change_pct': -2.537102460861206}]","[2, 6, 0, 1, 12]","['锰', '铌', '碳', '硅', '卷取温度平均值']"
1382,success,"[135.0, 277.0, 46.0]","[161.44, 324.41, 47.91]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.009999999776482582, 'optimized': 0.10724195837974548, 'change_pct': 972.4196166992188}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.004129793960601091, 'optimized': 0.09078723937273026, 'change_pct': 2098.347900390625}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.8021977543830872, 'optimized': 0.8552683591842651, 'change_pct': 6.615651607513428}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.0014084507711231709, 'optimized': 0.06632979959249496, 'change_pct': 4609.41552734375}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.9437751770019531, 'optimized': 0.8576117753982544, 'change_pct': -9.129652976989746}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
1394,success,"[137.0, 276.0, 48.0]","[161.25, 324.08, 47.3]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.009999999776482582, 'optimized': 0.09439762681722641, 'change_pct': 843.976318359375}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.0023598819971084595, 'optimized': 0.04241407662630081, 'change_pct': 1697.2965087890625}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.7912087440490723, 'optimized': 0.6977249979972839, 'change_pct': -11.8153076171875}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.0028169015422463417, 'optimized': 0.07045214623212814, 'change_pct': 2401.051025390625}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.9477910995483398, 'optimized': 0.8802365660667419, 'change_pct': -7.1275763511657715}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
1404,success,"[145.0, 275.0, 45.5]","[160.32, 325.3, 45.195]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.009999999776482582, 'optimized': 0.09439762681722641, 'change_pct': 843.976318359375}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.005899704992771149, 'optimized': 0.043897952884435654, 'change_pct': 644.0703125}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.8571428656578064, 'optimized': 0.7636591196060181, 'change_pct': -10.906436920166016}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.0, 'optimized': 0.06852195411920547, 'change_pct': inf}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.9518072605133057, 'optimized': 0.883431613445282, 'change_pct': -7.183770179748535}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
1418,success,"[406.0, 658.0, 21.0]","[386.46, 635.25, 30.715]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.9050000309944153, 'optimized': 0.902592122554779, 'change_pct': -0.2660672068595886}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.4277285933494568, 'optimized': 0.5114567875862122, 'change_pct': 19.575075149536133}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.3380281627178192, 'optimized': 0.23820194602012634, 'change_pct': -29.531923294067383}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.2637362480163574, 'optimized': 0.1721472442150116, 'change_pct': -34.72749710083008}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.14859437942504883, 'optimized': 0.23222771286964417, 'change_pct': 56.28297424316406}]","[2, 0, 1, 5, 12]","['锰', '碳', '硅', '钛', '卷取温度平均值']"
1420,success,"[395.0, 654.0, 21.5]","[392.66, 662.29, 30.61]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.9000000357627869, 'optimized': 0.9669374227523804, 'change_pct': 7.4374871253967285}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.41002947092056274, 'optimized': 0.48101621866226196, 'change_pct': 17.312597274780273}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.35211268067359924, 'optimized': 0.2605518102645874, 'change_pct': -26.003286361694336}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.25274723768234253, 'optimized': 0.17837783694267273, 'change_pct': -29.42441749572754}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.18072295188903809, 'optimized': 0.1660928726196289, 'change_pct': -8.095307350158691}]","[2, 0, 1, 5, 12]","['锰', '碳', '硅', '钛', '卷取温度平均值']"
1425,success,"[131.0, 284.0, 47.0]","[162.59, 326.55, 44.515]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.02500000037252903, 'optimized': 0.1210298240184784, 'change_pct': 384.1192932128906}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.0029498524963855743, 'optimized': 0.10046248137950897, 'change_pct': 3305.67822265625}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.7593406438827515, 'optimized': 0.856719434261322, 'change_pct': 12.824124336242676}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.0, 'optimized': 0.0546310730278492, 'change_pct': inf}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.9236948490142822, 'optimized': 0.8447809815406799, 'change_pct': -8.543283462524414}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
1438,success,"[133.0, 281.0, 48.5]","[160.38, 325.76, 45.3]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.015000002458691597, 'optimized': 0.09878821671009064, 'change_pct': 558.5880126953125}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.004719763994216919, 'optimized': 0.04340332746505737, 'change_pct': 819.6080322265625}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.7582417130470276, 'optimized': 0.6647579669952393, 'change_pct': -12.32901668548584}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.0014084507711231709, 'optimized': 0.06948705017566681, 'change_pct': 4833.58056640625}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.9437751770019531, 'optimized': 0.8770416975021362, 'change_pct': -7.070908546447754}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
1452,success,"[138.0, 277.0, 49.5]","[161.29, 326.28, 47.095]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.005000000819563866, 'optimized': 0.0953497365117073, 'change_pct': 1806.994384765625}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.005309734493494034, 'optimized': 0.09393709897994995, 'change_pct': 1669.1488037109375}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.8791208267211914, 'optimized': 0.9383437037467957, 'change_pct': 6.736602783203125}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.0014084507711231709, 'optimized': 0.001550747430883348, 'change_pct': 10.103062629699707}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.9518072605133057, 'optimized': 0.8612102270126343, 'change_pct': -9.51842212677002}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
1458,success,"[150.0, 274.0, 49.0]","[173.06, 327.38, 46.61]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.015000002458691597, 'optimized': 0.10494649410247803, 'change_pct': 599.6431884765625}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.0029498524963855743, 'optimized': 0.07942359149456024, 'change_pct': 2592.4599609375}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.8241758346557617, 'optimized': 0.7757797837257385, 'change_pct': -5.872054100036621}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.0028169015422463417, 'optimized': 0.09754103422164917, 'change_pct': 3362.706787109375}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.9357428550720215, 'optimized': 0.8747190833091736, 'change_pct': -6.521425247192383}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
1463,success,"[130.0, 277.0, 44.5]","[161.3, 324.43, 46.735]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.020000001415610313, 'optimized': 0.10514166206121445, 'change_pct': 425.708251953125}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.003539822995662689, 'optimized': 0.04083786532282829, 'change_pct': 1053.669677734375}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.7802197933197021, 'optimized': 0.6953885555267334, 'change_pct': -10.872735977172852}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.005633803084492683, 'optimized': 0.08366177976131439, 'change_pct': 1384.9964599609375}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.9558231830596924, 'optimized': 0.8929254412651062, 'change_pct': -6.580478668212891}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
1466,success,"[130.0, 283.0, 48.5]","[161.93, 326.75, 45.705]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.009999999776482582, 'optimized': 0.09439762681722641, 'change_pct': 843.976318359375}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.0029498524963855743, 'optimized': 0.0426613874733448, 'change_pct': 1346.2210693359375}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.7252746820449829, 'optimized': 0.6317909359931946, 'change_pct': -12.889427185058594}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.0014084507711231709, 'optimized': 0.06948705017566681, 'change_pct': 4833.58056640625}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.927710771560669, 'optimized': 0.8642616868019104, 'change_pct': -6.839317798614502}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
