sample_id,status,original_performance,optimized_performance,param_changes,top_params_index,top_params
91,success,"[473.0, 612.0, 17.0]","[426.76, 591.16, 28.35]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.5950000286102295, 'optimized': 0.6679810881614685, 'change_pct': 12.265724182128906}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.4572271406650543, 'optimized': 0.4030364155769348, 'change_pct': -11.852035522460938}, {'param_index': 6, 'param': '化学元素含量过程的铌', 'original': 0.6909090876579285, 'optimized': 0.5934875011444092, 'change_pct': -14.100493431091309}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.35211268067359924, 'optimized': 0.2581806778907776, 'change_pct': -26.676687240600586}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.3076923191547394, 'optimized': 0.2210713028907776, 'change_pct': -28.15182876586914}]","[2, 0, 6, 1, 5]","['锰', '碳', '铌', '硅', '钛']"
103,success,"[449.0, 676.0, 20.5]","[424.03, 665.22, 30.76]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.9000000357627869, 'optimized': 0.9669374227523804, 'change_pct': 7.4374871253967285}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.41002947092056274, 'optimized': 0.48101621866226196, 'change_pct': 17.312597274780273}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.35211268067359924, 'optimized': 0.2605518102645874, 'change_pct': -26.003286361694336}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.19780218601226807, 'optimized': 0.12343277782201767, 'change_pct': -37.597869873046875}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.18072295188903809, 'optimized': 0.1660928726196289, 'change_pct': -8.095307350158691}]","[2, 0, 1, 5, 12]","['锰', '碳', '硅', '钛', '卷取温度平均值']"
106,success,"[435.0, 791.0, 21.5]","[443.84, 693.48, 27.645]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.8950000405311584, 'optimized': 0.7975000143051147, 'change_pct': -10.893857955932617}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.7109144330024719, 'optimized': 0.8097344636917114, 'change_pct': 13.900411605834961}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.5211267471313477, 'optimized': 0.5364932417869568, 'change_pct': 2.9487059116363525}, {'param_index': 3, 'param': '化学元素含量过程的磷', 'original': 0.21348315477371216, 'optimized': 0.11573034524917603, 'change_pct': -45.78947067260742}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.04395604506134987, 'optimized': 0.0, 'change_pct': -100.0}]","[2, 0, 1, 3, 5]","['锰', '碳', '硅', '磷', '钛']"
129,success,"[510.0, 604.0, 14.0]","[480.9, 568.87, 27.45]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.4699999988079071, 'optimized': 0.5448724627494812, 'change_pct': 15.93031120300293}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.4277285933494568, 'optimized': 0.3751257061958313, 'change_pct': -12.298192977905273}, {'param_index': 6, 'param': '化学元素含量过程的铌', 'original': 0.7090908885002136, 'optimized': 0.7588722705841064, 'change_pct': 7.02045202255249}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.30985915660858154, 'optimized': 0.2373349517583847, 'change_pct': -23.40553855895996}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.3186812996864319, 'optimized': 0.22094404697418213, 'change_pct': -30.66927719116211}]","[2, 0, 6, 1, 5]","['锰', '碳', '铌', '硅', '钛']"
135,success,"[435.0, 543.0, 21.0]","[422.68, 535.9, 27.49]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.46000000834465027, 'optimized': 0.379313588142395, 'change_pct': -17.54052734375}, {'param_index': 6, 'param': '化学元素含量过程的铌', 'original': 0.7636363506317139, 'optimized': 0.6691030859947205, 'change_pct': -12.379356384277344}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.35103243589401245, 'optimized': 0.41992244124412537, 'change_pct': 19.624967575073242}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.28169015049934387, 'optimized': 0.18624264001846313, 'change_pct': -33.88386535644531}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.3076923191547394, 'optimized': 0.21017691493034363, 'change_pct': -31.6925048828125}]","[2, 6, 0, 1, 5]","['锰', '铌', '碳', '硅', '钛']"
141,success,"[133.0, 280.0, 47.5]","[160.58, 326.34, 46.5]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.015000002458691597, 'optimized': 0.11246331036090851, 'change_pct': 649.7553100585938}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.004719763994216919, 'optimized': 0.10168565064668655, 'change_pct': 2054.46484375}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.7692307829856873, 'optimized': 0.6773608326911926, 'change_pct': -11.943093299865723}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.0042253523133695126, 'optimized': 0.014503110200166702, 'change_pct': 243.240234375}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.9558231830596924, 'optimized': 0.8908302783966064, 'change_pct': -6.799678325653076}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
148,success,"[453.0, 558.0, 20.0]","[425.65, 539.34, 27.185]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.46000000834465027, 'optimized': 0.36793753504753113, 'change_pct': -20.013580322265625}, {'param_index': 6, 'param': '化学元素含量过程的铌', 'original': 0.7636363506317139, 'optimized': 0.8630919456481934, 'change_pct': 13.023946762084961}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.35103243589401245, 'optimized': 0.3889860212802887, 'change_pct': 10.81198787689209}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.28169015049934387, 'optimized': 0.18170329928398132, 'change_pct': -35.495330810546875}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.3076923191547394, 'optimized': 0.2156582474708557, 'change_pct': -29.91107177734375}]","[2, 6, 0, 1, 5]","['锰', '铌', '碳', '硅', '钛']"
172,success,"[132.0, 283.0, 46.0]","[152.67, 291.09, 46.65]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.020000001415610313, 'optimized': 0.016162997111678123, 'change_pct': -19.185020446777344}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.004129793960601091, 'optimized': 0.10084623098373413, 'change_pct': 2341.919189453125}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.7582417130470276, 'optimized': 0.6690711379051208, 'change_pct': -11.760178565979004}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.0014084507711231709, 'optimized': 0.013099076226353645, 'change_pct': 830.034423828125}, {'param_index': 6, 'param': '化学元素含量过程的铌', 'original': 0.01818181946873665, 'optimized': 0.016684040427207947, 'change_pct': -8.237784385681152}]","[2, 0, 5, 1, 6]","['锰', '碳', '钛', '硅', '铌']"
189,success,"[422.0, 649.0, 21.5]","[419.12, 631.17, 24.645]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.9100000262260437, 'optimized': 0.8632739782333374, 'change_pct': -5.134730339050293}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.4336283206939697, 'optimized': 0.44831204414367676, 'change_pct': 3.3862464427948}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.3661971688270569, 'optimized': 0.26994842290878296, 'change_pct': -26.28331184387207}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.16867470741271973, 'optimized': 0.21251912415027618, 'change_pct': 25.99347496032715}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.23076921701431274, 'optimized': 0.13672961294651031, 'change_pct': -40.75049591064453}]","[2, 0, 1, 12, 5]","['锰', '碳', '硅', '卷取温度平均值', '钛']"
196,success,"[132.0, 282.0, 46.0]","[165.71, 305.52, 45.69]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.015000002458691597, 'optimized': 0.06560862809419632, 'change_pct': 337.39080810546875}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.004129793960601091, 'optimized': 0.023572083562612534, 'change_pct': 470.7811279296875}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.8571428656578064, 'optimized': 0.7592277526855469, 'change_pct': -11.423429489135742}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.0014084507711231709, 'optimized': 0.002913188189268112, 'change_pct': 106.83635711669922}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.9196786880493164, 'optimized': 0.8326888680458069, 'change_pct': -9.458718299865723}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
